,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire Alarm
5401,1654738732,-9.241,54.59,0,400,13271,20245,939.729,2.18,2.27,15.03,2.344,0.053,5401,1
5403,1654738734,-9.242,53.02,1,400,13279,20249,939.741,2.19,2.28,15.08,2.351,0.053,5403,1
5405,1654738736,-9.243,51.82,1,400,13273,20231,939.73,2.28,2.37,15.67,2.443,0.055,5405,1
5407,1654738738,-9.245,50.88,0,400,13270,20239,939.716,2.34,2.44,16.14,2.516,0.057,5407,1
5409,1654738740,-9.246,50.25,0,400,13270,20240,939.724,2.4,2.5,16.55,2.581,0.058,5409,1
5411,1654738742,-9.247,49.76,4,400,13266,20232,939.733,2.43,2.52,16.72,2.607,0.059,5411,1
5413,1654738744,-9.249,49.44,0,400,13266,20235,939.727,2.37,2.46,16.32,2.545,0.057,5413,1
5415,1654738746,-9.25,49.25,5,400,13266,20233,939.746,2.38,2.48,16.41,2.559,0.058,5415,1
5417,1654738748,-9.251,49.01,2,400,13266,20239,939.733,2.41,2.51,16.62,2.591,0.059,5417,1
5419,1654738750,-9.252,48.84,8,400,13265,20234,939.733,2.46,2.56,16.94,2.642,0.06,5419,1
5421,1654738752,-9.253,48.7,2,400,13265,20241,939.738,2.51,2.61,17.29,2.696,0.061,5421,1
5423,1654738754,-9.254,48.57,8,400,13259,20232,939.731,2.56,2.66,17.64,2.751,0.062,5423,1
5425,1654738756,-9.255,48.46,8,400,13266,20231,939.715,2.6,2.7,17.86,2.786,0.063,5425,1
5427,1654738758,-9.256,48.4,9,400,13255,20222,939.713,2.57,2.67,17.69,2.758,0.062,5427,1
5429,1654738760,-9.257,48.28,19,400,13259,20225,939.708,2.55,2.64,17.52,2.732,0.062,5429,1
5431,1654738762,-9.258,48.73,38,400,13244,20202,939.706,2.49,2.59,17.15,2.674,0.06,5431,1
5433,1654738764,-9.259,50.3,27,400,13243,20212,939.728,2.57,2.67,17.69,2.759,0.062,5433,1
5435,1654738766,-9.26,51.5,28,400,13251,20217,939.717,2.66,2.77,18.34,2.86,0.065,5435,1
5437,1654738768,-9.261,52.34,25,400,13248,20207,939.719,2.78,2.89,19.15,2.986,0.067,5437,1
5439,1654738770,-9.262,52.94,32,400,13247,20210,939.706,2.77,2.88,19.07,2.973,0.067,5439,1
5441,1654738772,-9.263,53.42,30,400,13251,20214,939.709,2.8,2.9,19.24,3.001,0.068,5441,1
5443,1654738774,-9.264,53.77,33,400,13240,20205,939.698,2.76,2.87,19.0,2.962,0.067,5443,1
5445,1654738776,-9.265,54.06,37,400,13243,20203,939.713,2.65,2.75,18.24,2.844,0.064,5445,1
5447,1654738778,-9.265,54.25,24,400,13248,20212,939.714,2.51,2.61,17.27,2.693,0.061,5447,1
5449,1654738780,-9.266,54.44,39,400,13247,20208,939.708,2.41,2.5,16.57,2.583,0.058,5449,1
5451,1654738782,-9.267,54.62,30,400,13250,20214,939.717,2.34,2.44,16.14,2.516,0.057,5451,1
5453,1654738784,-9.267,54.77,31,400,13243,20200,939.716,2.27,2.36,15.65,2.44,0.055,5453,1
5455,1654738786,-9.268,54.87,31,400,13248,20210,939.729,2.18,2.27,15.03,2.343,0.053,5455,1
5457,1654738788,-9.269,54.96,32,400,13245,20199,939.721,2.13,2.21,14.66,2.286,0.052,5457,1
5459,1654738790,-9.269,55.1,42,400,13243,20202,939.719,2.08,2.16,14.3,2.23,0.05,5459,1
5461,1654738792,-9.27,54.64,18,400,13265,20228,939.71,2.06,2.14,14.19,2.213,0.05,5461,1
5463,1654738794,-9.27,53.07,20,400,13257,20216,939.72,2.08,2.16,14.34,2.236,0.051,5463,1
5465,1654738796,-9.271,51.81,28,400,13256,20213,939.728,2.1,2.18,14.46,2.254,0.051,5465,1
5467,1654738798,-9.272,50.91,27,400,13248,20204,939.739,2.09,2.17,14.35,2.238,0.051,5467,1
5469,1654738800,-9.272,50.28,33,400,13251,20202,939.713,2.08,2.16,14.32,2.233,0.05,5469,1
5471,1654738802,-9.272,49.82,41,400,13247,20206,939.721,2.06,2.14,14.21,2.215,0.05,5471,1
5473,1654738804,-9.273,49.52,28,400,13246,20204,939.729,2.07,2.15,14.22,2.218,0.05,5473,1
5475,1654738806,-9.273,49.27,39,400,13246,20203,939.732,2.11,2.2,14.56,2.27,0.051,5475,1
5477,1654738808,-9.274,49.13,30,400,13251,20210,939.728,2.12,2.2,14.56,2.271,0.051,5477,1
5479,1654738810,-9.274,48.93,22,400,13257,20215,939.724,2.11,2.19,14.52,2.265,0.051,5479,1
5481,1654738812,-9.274,48.83,28,400,13257,20216,939.729,2.1,2.18,14.43,2.25,0.051,5481,1
5483,1654738814,-9.274,48.75,13,400,13258,20222,939.723,2.24,2.33,15.45,2.409,0.054,5483,1
5485,1654738816,-9.275,48.63,16,400,13258,20214,939.73,2.41,2.5,16.57,2.584,0.058,5485,1
5487,1654738818,-9.275,48.57,22,400,13257,20214,939.735,2.5,2.6,17.24,2.688,0.061,5487,1
5489,1654738820,-9.275,48.53,17,400,13262,20223,939.714,2.58,2.68,17.74,2.767,0.062,5489,1
5491,1654738822,-9.275,49.01,34,400,13255,20209,939.719,2.62,2.73,18.06,2.816,0.064,5491,1
5493,1654738824,-9.276,50.51,32,400,13253,20218,939.706,2.65,2.75,18.22,2.841,0.064,5493,1
5495,1654738826,-9.276,51.76,22,400,13261,20226,939.722,2.6,2.7,17.91,2.793,0.063,5495,1
5497,1654738828,-9.276,52.61,13,400,13260,20223,939.726,2.72,2.83,18.74,2.922,0.066,5497,1
5499,1654738830,-9.276,53.26,3,400,13272,20237,939.731,2.79,2.9,19.23,2.999,0.068,5499,1
5501,1654738832,-9.276,53.75,0,400,13277,20243,939.734,2.74,2.85,18.86,2.941,0.066,5501,1
5503,1654738834,-9.276,54.12,0,400,13271,20252,939.721,2.65,2.76,18.27,2.849,0.064,5503,1
5505,1654738836,-9.276,54.4,0,400,13272,20241,939.72,2.69,2.79,18.5,2.886,0.065,5505,1
5507,1654738838,-9.276,54.65,6,400,13272,20242,939.719,2.68,2.79,18.46,2.879,0.065,5507,1
5509,1654738840,-9.276,54.86,0,400,13279,20254,939.723,2.73,2.84,18.82,2.934,0.066,5509,1
5511,1654738842,-9.276,55.0,2,400,13271,20252,939.73,2.69,2.8,18.53,2.89,0.065,5511,1
5513,1654738844,-9.276,55.15,0,400,13271,20251,939.717,2.56,2.66,17.62,2.748,0.062,5513,1
5515,1654738846,-9.275,55.29,0,400,13269,20245,939.718,2.39,2.49,16.47,2.568,0.058,5515,1
5517,1654738848,-9.275,55.36,11,400,13260,20235,939.723,2.34,2.43,16.1,2.511,0.057,5517,1
5519,1654738850,-9.275,55.51,10,400,13268,20237,939.722,2.44,2.53,16.76,2.614,0.059,5519,1
5521,1654738852,-9.275,54.97,0,400,13284,20269,939.73,2.49,2.59,17.14,2.673,0.06,5521,1
5523,1654738854,-9.275,53.4,0,400,13283,20267,939.736,2.5,2.6,17.22,2.685,0.061,5523,1
5525,1654738856,-9.274,52.17,0,400,13276,20259,939.76,2.5,2.6,17.23,2.687,0.061,5525,1
5527,1654738858,-9.274,51.3,6,400,13274,20257,939.738,2.56,2.66,17.62,2.748,0.062,5527,1
5529,1654738860,-9.274,50.66,3,400,13271,20246,939.744,2.63,2.73,18.08,2.819,0.064,5529,1
5531,1654738862,-9.273,50.19,5,400,13275,20254,939.739,2.61,2.72,17.99,2.805,0.063,5531,1
5533,1654738864,-9.273,49.85,12,400,13264,20250,939.747,2.61,2.71,17.94,2.798,0.063,5533,1
5535,1654738866,-9.273,49.6,4,400,13275,20254,939.732,2.52,2.62,17.35,2.706,0.061,5535,1
5537,1654738868,-9.272,49.38,12,400,13263,20237,939.738,2.55,2.65,17.56,2.738,0.062,5537,1
5539,1654738870,-9.272,49.22,14,400,13260,20234,939.724,2.54,2.64,17.48,2.726,0.062,5539,1
5541,1654738872,-9.271,49.12,13,400,13265,20241,939.725,2.55,2.65,17.57,2.74,0.062,5541,1
5543,1654738874,-9.271,48.95,10,400,13264,20251,939.735,2.63,2.73,18.09,2.821,0.064,5543,1
5545,1654738876,-9.27,48.86,17,400,13265,20236,939.729,2.65,2.75,18.24,2.844,0.064,5545,1
5547,1654738878,-9.27,48.78,23,400,13260,20241,939.714,2.62,2.72,18.05,2.814,0.064,5547,1
5549,1654738880,-9.269,48.68,21,400,13260,20237,939.721,2.63,2.73,18.1,2.822,0.064,5549,1
5551,1654738882,-9.269,49.16,42,400,13242,20207,939.726,2.58,2.69,17.79,2.774,0.063,5551,1
5553,1654738884,-9.268,50.66,39,400,13245,20210,939.723,2.49,2.58,17.12,2.669,0.06,5553,1
5555,1654738886,-9.267,51.9,36,400,13244,20224,939.735,2.44,2.53,16.77,2.615,0.059,5555,1
5557,1654738888,-9.267,52.75,30,400,13255,20221,939.727,2.36,2.45,16.24,2.532,0.057,5557,1
5559,1654738890,-9.266,53.39,38,400,13250,20217,939.737,2.3,2.39,15.85,2.471,0.056,5559,1
5561,1654738892,-9.265,53.84,34,400,13253,20227,939.73,2.41,2.5,16.58,2.586,0.058,5561,1
5563,1654738894,-9.265,54.17,40,400,13248,20218,939.742,2.53,2.63,17.41,2.715,0.061,5563,1
5565,1654738896,-9.264,54.43,30,400,13246,20209,939.739,2.6,2.7,17.87,2.787,0.063,5565,1
5567,1654738898,-9.263,54.71,37,400,13246,20211,939.752,2.57,2.67,17.69,2.759,0.062,5567,1
5569,1654738900,-9.262,54.9,42,400,13246,20213,939.764,2.56,2.66,17.64,2.75,0.062,5569,1
5571,1654738902,-9.261,55.03,35,400,13253,20223,939.753,2.6,2.7,17.91,2.794,0.063,5571,1
5573,1654738904,-9.261,55.15,37,400,13251,20219,939.742,2.63,2.73,18.1,2.823,0.064,5573,1
5575,1654738906,-9.26,55.34,54,400,13246,20206,939.751,2.63,2.73,18.1,2.823,0.064,5575,1
5577,1654738908,-9.259,55.45,40,400,13249,20219,939.743,2.62,2.73,18.06,2.816,0.064,5577,1
5579,1654738910,-9.258,55.54,39,400,13244,20212,939.732,2.57,2.67,17.71,2.761,0.062,5579,1
5581,1654738912,-9.257,55.07,17,400,13265,20234,939.744,2.43,2.52,16.69,2.603,0.059,5581,1
5583,1654738914,-9.256,53.49,22,400,13264,20233,939.732,2.35,2.44,16.14,2.518,0.057,5583,1
5585,1654738916,-9.255,52.25,31,400,13259,20225,939.735,2.28,2.37,15.72,2.451,0.055,5585,1
5587,1654738918,-9.254,51.38,25,400,13258,20224,939.744,2.2,2.28,15.13,2.36,0.053,5587,1
5589,1654738920,-9.253,50.68,27,400,13258,20226,939.753,2.23,2.32,15.34,2.393,0.054,5589,1
5591,1654738922,-9.252,50.27,34,400,13248,20220,939.746,2.26,2.34,15.53,2.422,0.055,5591,1
5593,1654738924,-9.251,49.93,32,400,13253,20227,939.734,2.31,2.4,15.89,2.478,0.056,5593,1
5595,1654738926,-9.249,49.68,32,400,13252,20217,939.738,2.35,2.44,16.19,2.524,0.057,5595,1
5597,1654738928,-9.248,49.46,33,400,13254,20219,939.742,2.33,2.42,16.06,2.505,0.057,5597,1
5599,1654738930,-9.247,49.34,47,400,13246,20213,939.739,2.36,2.45,16.22,2.53,0.057,5599,1
5601,1654738932,-9.246,49.15,45,400,13246,20217,939.739,2.41,2.5,16.57,2.583,0.058,5601,1
5603,1654738934,-9.245,49.04,48,400,13247,20211,939.737,2.5,2.6,17.23,2.686,0.061,5603,1
5605,1654738936,-9.244,48.95,52,400,13243,20200,939.722,2.52,2.62,17.37,2.708,0.061,5605,1
5607,1654738938,-9.242,48.83,43,400,13245,20211,939.727,2.51,2.61,17.28,2.695,0.061,5607,1
5609,1654738940,-9.241,48.82,54,400,13243,20211,939.73,2.51,2.61,17.27,2.693,0.061,5609,1
5611,1654738942,-9.24,49.31,70,400,13231,20192,939.743,2.46,2.55,16.92,2.639,0.06,5611,1
5613,1654738944,-9.238,50.8,65,400,13235,20191,939.747,2.35,2.44,16.16,2.52,0.057,5613,1
5615,1654738946,-9.237,52.04,64,400,13234,20196,939.727,2.26,2.35,15.57,2.428,0.055,5615,1
5617,1654738948,-9.236,52.9,53,400,13238,20200,939.719,2.25,2.34,15.5,2.417,0.055,5617,1
5619,1654738950,-9.234,53.51,60,400,13239,20190,939.729,2.32,2.41,15.99,2.493,0.056,5619,1
5621,1654738952,-9.233,54.01,52,400,13245,20203,939.734,2.32,2.41,15.99,2.493,0.056,5621,1
5623,1654738954,-9.231,54.37,62,400,13240,20193,939.75,2.3,2.39,15.81,2.465,0.056,5623,1
5625,1654738956,-9.23,54.65,56,400,13238,20193,939.748,2.29,2.38,15.77,2.459,0.056,5625,1
5627,1654738958,-9.228,54.88,55,400,13242,20203,939.76,2.27,2.36,15.61,2.434,0.055,5627,1
5629,1654738960,-9.227,55.09,46,400,13247,20213,939.764,2.25,2.34,15.48,2.413,0.055,5629,1
5631,1654738962,-9.225,55.24,44,400,13247,20204,939.74,2.23,2.32,15.36,2.396,0.054,5631,1
5633,1654738964,-9.224,55.42,46,400,13245,20208,939.722,2.25,2.33,15.46,2.411,0.054,5633,1
5635,1654738966,-9.222,55.48,62,400,13241,20203,939.725,2.33,2.42,16.02,2.498,0.056,5635,1
5637,1654738968,-9.22,55.59,52,400,13247,20206,939.736,2.46,2.55,16.92,2.638,0.06,5637,1
5639,1654738970,-9.219,55.71,48,400,13250,20208,939.731,2.57,2.67,17.65,2.753,0.062,5639,1
5641,1654738972,-9.217,55.23,31,400,13264,20224,939.736,2.64,2.74,18.17,2.833,0.064,5641,1
5643,1654738974,-9.215,53.68,24,400,13262,20230,939.727,2.69,2.79,18.48,2.882,0.065,5643,1
5645,1654738976,-9.214,52.42,32,400,13261,20231,939.712,2.78,2.88,19.1,2.979,0.067,5645,1
5647,1654738978,-9.212,51.52,42,400,13247,20208,939.709,2.85,2.96,19.6,3.056,0.069,5647,1
5649,1654738980,-9.21,50.85,30,400,13260,20218,939.717,2.95,3.07,20.31,3.168,0.072,5649,1
5651,1654738982,-9.209,50.39,45,400,13250,20211,939.716,3.04,3.15,20.9,3.259,0.074,5651,1
5653,1654738984,-9.207,50.04,51,400,13248,20203,939.718,3.04,3.15,20.9,3.258,0.074,5653,1
5655,1654738986,-9.205,49.81,51,400,13251,20214,939.721,2.96,3.07,20.34,3.172,0.072,5655,1
5657,1654738988,-9.203,49.53,46,400,13248,20210,939.734,2.75,2.86,18.96,2.956,0.067,5657,1
5659,1654738990,-9.201,49.36,43,400,13246,20204,939.734,2.63,2.73,18.09,2.821,0.064,5659,1
5661,1654738992,-9.199,49.22,47,400,13240,20207,939.727,2.63,2.73,18.08,2.819,0.064,5661,1
5663,1654738994,-9.197,49.11,49,400,13247,20205,939.73,2.57,2.67,17.66,2.754,0.062,5663,1
5665,1654738996,-9.196,49.03,45,400,13251,20213,939.724,2.49,2.59,17.13,2.671,0.06,5665,1
5667,1654738998,-9.194,48.91,36,400,13255,20224,939.73,2.39,2.49,16.47,2.568,0.058,5667,1
5669,1654739000,-9.192,48.8,54,400,13250,20212,939.741,2.34,2.43,16.11,2.512,0.057,5669,1
5671,1654739002,-9.19,49.29,61,400,13236,20190,939.738,2.37,2.46,16.31,2.543,0.057,5671,1
5673,1654739004,-9.188,50.77,58,400,13240,20197,939.726,2.47,2.57,17.01,2.652,0.06,5673,1
5675,1654739006,-9.186,52.01,55,400,13244,20195,939.711,2.52,2.61,17.31,2.7,0.061,5675,1
5677,1654739008,-9.183,52.87,53,400,13236,20197,939.708,2.48,2.58,17.08,2.664,0.06,5677,1
5679,1654739010,-9.181,53.5,51,400,13245,20207,939.707,2.39,2.49,16.47,2.569,0.058,5679,1
5681,1654739012,-9.179,53.95,51,400,13244,20200,939.707,2.24,2.33,15.4,2.402,0.054,5681,1
5683,1654739014,-9.177,54.28,46,400,13242,20199,939.718,2.11,2.2,14.55,2.269,0.051,5683,1
5685,1654739016,-9.175,54.55,57,400,13243,20209,939.716,2.13,2.21,14.66,2.286,0.052,5685,1
5687,1654739018,-9.173,54.79,53,400,13240,20198,939.704,2.21,2.3,15.21,2.372,0.054,5687,1
5689,1654739020,-9.171,54.97,49,400,13242,20205,939.692,2.23,2.32,15.38,2.398,0.054,5689,1
5691,1654739022,-9.168,55.14,52,400,13248,20214,939.691,2.21,2.3,15.23,2.375,0.054,5691,1
5693,1654739024,-9.166,55.26,48,400,13253,20211,939.711,2.16,2.25,14.88,2.32,0.052,5693,1
5695,1654739026,-9.164,55.36,51,400,13247,20208,939.704,2.18,2.26,14.99,2.337,0.053,5695,1
5697,1654739028,-9.162,55.51,50,400,13247,20201,939.716,2.14,2.22,14.72,2.295,0.052,5697,1
5699,1654739030,-9.159,55.6,57,400,13246,20201,939.712,2.12,2.2,14.58,2.274,0.051,5699,1
5701,1654739032,-9.157,55.14,27,400,13269,20232,939.695,2.19,2.28,15.08,2.352,0.053,5701,1
5703,1654739034,-9.155,53.52,29,400,13265,20230,939.7,2.24,2.33,15.4,2.402,0.054,5703,1
5705,1654739036,-9.152,52.31,26,400,13263,20226,939.694,2.31,2.4,15.87,2.475,0.056,5705,1
5707,1654739038,-9.15,51.41,34,400,13257,20218,939.706,2.33,2.42,16.01,2.497,0.056,5707,1
5709,1654739040,-9.148,50.75,29,400,13259,20227,939.669,2.26,2.35,15.56,2.427,0.055,5709,1
5711,1654739042,-9.145,50.29,30,400,13255,20217,939.673,2.14,2.23,14.76,2.302,0.052,5711,1
5713,1654739044,-9.143,49.94,33,400,13258,20220,939.676,2.06,2.14,14.2,2.215,0.05,5713,1
5715,1654739046,-9.14,49.71,34,400,13257,20227,939.664,2.1,2.18,14.45,2.253,0.051,5715,1
5717,1654739048,-9.138,49.47,34,400,13255,20222,939.661,2.19,2.28,15.09,2.353,0.053,5717,1
5719,1654739050,-9.135,49.33,40,400,13260,20225,939.667,2.42,2.51,16.65,2.597,0.059,5719,1
5721,1654739052,-9.133,49.19,32,400,13258,20228,939.656,2.55,2.65,17.55,2.737,0.062,5721,1
5723,1654739054,-9.13,49.09,34,400,13257,20230,939.666,2.56,2.66,17.63,2.749,0.062,5723,1
5725,1654739056,-9.128,48.91,35,400,13254,20219,939.673,2.56,2.66,17.6,2.744,0.062,5725,1
5727,1654739058,-9.125,48.84,33,400,13252,20224,939.676,2.52,2.62,17.35,2.705,0.061,5727,1
5729,1654739060,-9.122,48.82,36,400,13253,20222,939.681,2.49,2.58,17.11,2.667,0.06,5729,1
5731,1654739062,-9.12,49.23,62,400,13234,20191,939.687,2.47,2.56,16.98,2.649,0.06,5731,1
5733,1654739064,-9.117,50.78,58,400,13236,20197,939.68,2.41,2.5,16.57,2.584,0.058,5733,1
5735,1654739066,-9.114,52.01,47,400,13243,20201,939.7,2.4,2.49,16.5,2.572,0.058,5735,1
5737,1654739068,-9.112,52.81,55,400,13238,20204,939.694,2.41,2.5,16.57,2.584,0.058,5737,1
5739,1654739070,-9.109,53.46,47,400,13248,20208,939.681,2.34,2.43,16.11,2.511,0.057,5739,1
5741,1654739072,-9.106,53.95,47,400,13238,20206,939.684,2.29,2.37,15.73,2.453,0.055,5741,1
5743,1654739074,-9.104,54.27,43,400,13247,20216,939.7,2.26,2.35,15.57,2.428,0.055,5743,1
5745,1654739076,-9.101,54.58,47,400,13238,20203,939.715,2.17,2.25,14.93,2.328,0.053,5745,1
5747,1654739078,-9.098,54.82,47,400,13240,20207,939.712,2.06,2.14,14.15,2.207,0.05,5747,1
5749,1654739080,-9.095,54.99,41,400,13247,20214,939.72,1.95,2.02,13.39,2.088,0.047,5749,1
5751,1654739082,-9.092,55.15,38,400,13248,20219,939.719,1.87,1.94,12.86,2.006,0.045,5751,1
5753,1654739084,-9.09,55.3,47,400,13246,20209,939.7,1.83,1.9,12.58,1.962,0.044,5753,1
5755,1654739086,-9.087,55.41,46,400,13244,20209,939.692,1.85,1.92,12.73,1.986,0.045,5755,1
5757,1654739088,-9.084,55.52,44,400,13248,20211,939.692,1.9,1.97,13.08,2.04,0.046,5757,1
5759,1654739090,-9.081,55.63,41,400,13254,20214,939.689,1.92,2.0,13.24,2.064,0.047,5759,1
5761,1654739092,-9.078,55.18,25,400,13267,20236,939.697,1.99,2.07,13.71,2.138,0.048,5761,1
5763,1654739094,-9.075,53.59,32,400,13262,20230,939.705,2.06,2.14,14.17,2.209,0.05,5763,1
5765,1654739096,-9.072,52.34,21,400,13254,20231,939.716,2.14,2.23,14.74,2.299,0.052,5765,1
5767,1654739098,-9.069,51.49,32,400,13256,20229,939.714,2.21,2.3,15.24,2.376,0.054,5767,1
5769,1654739100,-9.066,50.88,35,400,13252,20214,939.714,2.27,2.36,15.61,2.434,0.055,5769,1
5771,1654739102,-9.063,50.41,33,400,13254,20220,939.705,2.33,2.42,16.02,2.499,0.056,5771,1
5773,1654739104,-9.06,50.1,39,400,13257,20219,939.715,2.37,2.46,16.29,2.541,0.057,5773,1
5775,1654739106,-9.057,49.85,36,400,13257,20218,939.709,2.4,2.5,16.53,2.578,0.058,5775,1
5777,1654739108,-9.054,49.69,21,400,13265,20231,939.703,2.36,2.45,16.24,2.532,0.057,5777,1
5779,1654739110,-9.051,49.54,26,400,13262,20234,939.694,2.29,2.38,15.77,2.459,0.056,5779,1
5781,1654739112,-9.047,49.43,24,400,13267,20228,939.708,2.32,2.41,15.97,2.49,0.056,5781,1
5783,1654739114,-9.044,49.33,11,400,13267,20232,939.707,2.34,2.44,16.13,2.516,0.057,5783,1
5785,1654739116,-9.041,49.24,25,400,13261,20232,939.701,2.35,2.44,16.17,2.521,0.057,5785,1
5787,1654739118,-9.038,49.17,10,400,13262,20242,939.691,2.36,2.45,16.25,2.534,0.057,5787,1
5789,1654739120,-9.035,49.07,15,400,13261,20237,939.694,2.41,2.5,16.57,2.583,0.058,5789,1
5791,1654739122,-9.032,49.54,35,400,13249,20220,939.693,2.48,2.58,17.06,2.661,0.06,5791,1
5793,1654739124,-9.028,51.09,27,400,13250,20224,939.69,2.46,2.56,16.97,2.646,0.06,5793,1
5795,1654739126,-9.025,52.28,37,400,13250,20219,939.687,2.43,2.52,16.69,2.603,0.059,5795,1
5797,1654739128,-9.022,53.13,24,400,13251,20219,939.676,2.37,2.47,16.34,2.548,0.058,5797,1
5799,1654739130,-9.018,53.76,27,400,13248,20224,939.686,2.34,2.43,16.11,2.512,0.057,5799,1
5801,1654739132,-9.015,54.24,30,400,13252,20229,939.687,2.4,2.49,16.49,2.571,0.058,5801,1
5803,1654739134,-9.012,54.61,16,400,13253,20235,939.695,2.43,2.53,16.74,2.611,0.059,5803,1
5805,1654739136,-9.008,54.88,30,400,13252,20225,939.692,2.42,2.52,16.68,2.601,0.059,5805,1
5807,1654739138,-9.005,55.17,25,400,13248,20239,939.701,2.4,2.49,16.51,2.574,0.058,5807,1
5809,1654739140,-9.002,55.37,16,400,13254,20234,939.692,2.37,2.46,16.29,2.54,0.057,5809,1
5811,1654739142,-8.998,55.54,26,400,13252,20234,939.674,2.42,2.51,16.63,2.592,0.059,5811,1
5813,1654739144,-8.995,55.71,23,400,13251,20220,939.674,2.47,2.56,16.97,2.646,0.06,5813,1
5815,1654739146,-8.991,55.79,30,400,13248,20224,939.67,2.46,2.56,16.93,2.639,0.06,5815,1
5817,1654739148,-8.988,55.91,33,400,13254,20226,939.658,2.49,2.59,17.16,2.675,0.06,5817,1
5819,1654739150,-8.984,56.03,36,400,13250,20227,939.669,2.44,2.54,16.81,2.621,0.059,5819,1
5821,1654739152,-8.981,55.55,8,400,13271,20253,939.675,2.4,2.49,16.49,2.572,0.058,5821,1
5823,1654739154,-8.977,53.98,1,400,13269,20252,939.686,2.39,2.48,16.42,2.56,0.058,5823,1
5825,1654739156,-8.974,52.72,10,400,13267,20246,939.695,2.32,2.41,15.98,2.491,0.056,5825,1
5827,1654739158,-8.97,51.87,8,400,13267,20245,939.661,2.25,2.34,15.5,2.417,0.055,5827,1
5829,1654739160,-8.967,51.24,0,400,13279,20257,939.627,2.27,2.36,15.61,2.434,0.055,5829,1
5831,1654739162,-8.963,50.76,0,400,13276,20258,939.626,2.34,2.43,16.07,2.507,0.057,5831,1
5833,1654739164,-8.959,50.45,0,400,13271,20249,939.628,2.34,2.43,16.11,2.513,0.057,5833,1
5835,1654739166,-8.956,50.15,6,400,13278,20253,939.638,2.31,2.4,15.91,2.481,0.056,5835,1
5837,1654739168,-8.952,50.0,0,400,13282,20259,939.649,2.27,2.36,15.61,2.434,0.055,5837,1
5839,1654739170,-8.948,49.83,0,400,13279,20260,939.659,2.2,2.29,15.15,2.362,0.053,5839,1
5841,1654739172,-8.945,49.69,0,400,13280,20268,939.673,2.18,2.27,15.02,2.343,0.053,5841,1
5843,1654739174,-8.941,49.57,0,400,13281,20279,939.686,2.3,2.39,15.82,2.468,0.056,5843,1
5845,1654739176,-8.937,49.45,0,400,13279,20273,939.681,2.46,2.56,16.93,2.64,0.06,5845,1
5847,1654739178,-8.934,49.34,0,400,13275,20272,939.689,2.6,2.7,17.9,2.791,0.063,5847,1
5849,1654739180,-8.93,49.28,0,400,13274,20282,939.681,2.67,2.78,18.38,2.867,0.065,5849,1
5851,1654739182,-8.926,49.75,18,400,13260,20253,939.695,2.68,2.78,18.43,2.874,0.065,5851,1
5853,1654739184,-8.922,51.27,21,400,13249,20247,939.695,2.61,2.71,17.97,2.802,0.063,5853,1
5855,1654739186,-8.918,52.45,19,400,13256,20245,939.694,2.49,2.59,17.15,2.674,0.06,5855,1
5857,1654739188,-8.915,53.32,24,400,13251,20251,939.679,2.49,2.59,17.17,2.677,0.06,5857,1
5859,1654739190,-8.911,53.96,18,400,13257,20253,939.689,2.5,2.59,17.18,2.679,0.061,5859,1
5861,1654739192,-8.907,54.41,19,400,13250,20247,939.683,2.48,2.58,17.09,2.664,0.06,5861,1
5863,1654739194,-8.903,54.8,23,400,13252,20242,939.671,2.56,2.66,17.62,2.748,0.062,5863,1
5865,1654739196,-8.899,55.06,21,400,13251,20249,939.676,2.54,2.64,17.47,2.725,0.062,5865,1
5867,1654739198,-8.895,55.29,20,400,13255,20249,939.664,2.56,2.66,17.63,2.749,0.062,5867,1
5869,1654739200,-8.891,55.48,35,400,13247,20234,939.654,2.54,2.64,17.47,2.725,0.062,5869,1
5871,1654739202,-8.887,55.65,37,400,13243,20234,939.648,2.45,2.55,16.87,2.631,0.059,5871,1
5873,1654739204,-8.883,55.78,36,400,13246,20233,939.637,2.31,2.39,15.87,2.474,0.056,5873,1
5875,1654739206,-8.879,55.88,45,400,13239,20222,939.648,2.19,2.28,15.1,2.354,0.053,5875,1
5877,1654739208,-8.875,56.02,43,400,13243,20219,939.658,2.18,2.26,14.98,2.335,0.053,5877,1
5879,1654739210,-8.871,56.07,53,400,13238,20219,939.653,2.22,2.31,15.31,2.387,0.054,5879,1
5881,1654739212,-8.867,55.61,24,400,13258,20247,939.646,2.17,2.26,14.97,2.334,0.053,5881,1
5883,1654739214,-8.863,54.01,31,400,13245,20232,939.65,2.14,2.22,14.73,2.297,0.052,5883,1
5885,1654739216,-8.859,52.76,40,400,13245,20231,939.661,2.1,2.18,14.46,2.254,0.051,5885,1
5887,1654739218,-8.855,51.87,43,400,13245,20225,939.641,2.1,2.18,14.43,2.251,0.051,5887,1
5889,1654739220,-8.851,51.22,54,400,13236,20216,939.644,2.13,2.21,14.66,2.287,0.052,5889,1
5891,1654739222,-8.847,50.74,53,400,13239,20217,939.66,2.1,2.19,14.48,2.258,0.051,5891,1
5893,1654739224,-8.843,50.4,56,400,13240,20218,939.651,2.13,2.22,14.69,2.291,0.052,5893,1
5895,1654739226,-8.838,50.14,62,400,13237,20212,939.644,2.14,2.23,14.75,2.299,0.052,5895,1
